0 0,5495 0
887 1 0,9525
888 1 0,9525
889 1 0,9525
890 1 0,9525
891 1 0,9525
892 1 0,9525
893 1 0,9525
894 1 0,9525
895 1 0,9525
896 1 0,9525
897 1 0,9525
898 1 0,9525
899 1 0,9525
900 1 0,9525
901 1 0,9525
902 1 0,9525
903 1 0,9525
904 1 0,9525
905 1 0,9525
906 1 0,9525
907 1 0,9525
908 1 0,9525
909 1 0,9525
910 1 0,9525
911 1 0,9525
912 1 0,9525
913 1 0,9525
914 1 0,9525
915 1 0,9525
916 1 0,9525
917 1 0,9525
918 1 0,9525
919 1 0,9525
920 1 0,9525
921 1 0,9525
922 1 0,9525
923 1 0,9525
924 1 0,9525
925 1 0,9525
926 1 0,9525
927 1 0,9525
928 1 0,9525
929 1 0,9525
930 1 0,9525
931 1 0,9525
932 1 0,9525
933 1 0,9525
934 1 0,9525
935 1 0,9525
936 1 0,9525
937 1 0,9525
938 1 0,9525
939 1 0,9525
940 1 0,9525
941 1 0,9525
942 1 0,9525
943 1 0,9525
944 1 0,9525
945 1 0,9525
946 1 0,9525
947 1 0,9525
948 1 0,9525
949 1 0,9525
950 1 0,9525
951 1 0,9525
952 1 0,9525
953 1 0,9525
954 1 0,9525
955 1 0,9525
956 1 0,9525
957 1 0,9525
958 1 0,9525
959 1 0,9525
960 1 0,9525
961 1 0,9525
962 1 0,9525
963 1 0,9525
964 1 0,9525
965 1 0,9525
966 1 0,9525
967 1 0,9525
968 1 0,9525
969 1 0,9525
970 1 0,9525
971 1 0,9525
972 1 0,9525
973 1 0,9525
974 1 0,9525
975 1 0,9525
976 1 0,9525
977 1 0,9525
978 1 0,9525
979 1 0,9525
980 1 0,9525
981 1 0,9525
982 1 0,9525
983 1 0,9525
984 1 0,9525
985 1 0,9525
986 1 0,9525
987 1 0,9525
988 1 0,9525
989 1 0,9525
990 1 0,9525
991 1 0,9525
992 1 0,9525
993 1 0,9525
994 1 0,9525
995 1 0,9525
996 1 0,9525
997 1 0,9525
998 1 0,9525
999 1 0,9525
1000 1 0,9525
1001 1 0,9525
1002 1 0,9525
1003 1 0,9525
1004 1 0,9525
1005 1 0,9525
1006 1 0,9525
1007 1 0,9525
1008 1 0,9525
1009 1 0,9525
1010 1 0,9525
1011 1 0,9525
1012 1 0,9525
1013 1 0,9525
1014 1 0,9525
1015 1 0,9525
1016 1 0,9525
1017 1 0,9525
1018 1 0,9525
1019 1 0,9525
1020 1 0,9525
1021 1 0,9525
1022 1 0,9525
1023 1 0,9525
1024 1 0,9525
1025 1 0,9525
1026 1 0,9525
1027 1 0,9525
1028 1 0,9525
1029 1 0,9525
1030 1 0,9525
1031 1 0,9525
1032 1 0,9525
1033 1 0,9525
1034 1 0,9525
1035 1 0,9525
1036 1 0,9525
1037 1 0,9525
1038 1 0,9525
1039 1 0,9525
1040 1 0,9525
1041 1 0,9525
1042 1 0,9525
1043 1 0,9525
1044 1 0,9525
1045 1 0,9525
1046 1 0,9525
1047 1 0,9525
1048 1 0,9525
1049 1 0,9525
1050 1 0,9525
1051 1 0,9525
1052 1 0,9525
1053 1 0,9525
1054 1 0,9525
1055 1 0,9525
1056 1 0,9525
1057 1 0,9525
1058 1 0,9525
1059 1 0,9525
1060 1 0,9525
1061 1 0,9525
1062 1 0,9525
1063 1 0,9525
1064 1 0,9525
1065 1 0,9525
1066 1 0,9525
1067 1 0,9525
1068 1 0,9525
1069 1 0,9525
1070 1 0,9525
1071 1 0,9525
1072 1 0,9525
1073 1 0,9525
1074 1 0,9525
1075 1 0,9525
1076 1 0,9525
1077 1 0,9525
1078 1 0,9525
1079 1 0,9525
1080 1 0,9525
1081 1 0,9525
1082 1 0,9525
1083 1 0,9525
1084 1 0,9525
1085 1 0,9525
1086 1 0,9525
1087 1 0,9525
1088 1 0,9525
1089 1 0,9525
1090 1 0,9525
1091 1 0,9525
1092 1 0,9525
1093 1 0,9525
1094 1 0,9525
1095 1 0,9525
1096 1 0,9525
1097 1 0,9525
1098 1 0,9525
1099 1 0,9525
1100 1 0,9525
1101 1 0,9525
1102 1 0,9525
1103 1 0,9525
1104 1 0,9525
1105 1 0,9525
1106 1 0,9525
1107 1 0,9525
1108 1 0,9525
1109 1 0,9525
1110 1 0,9525
1111 1 0,9525
1112 1 0,9525
1113 1 0,9525
1114 1 0,9525
1115 1 0,9525
1116 1 0,9525
1117 1 0,9525
1118 1 0,9525
1119 1 0,9525
1120 1 0,9525
1121 1 0,9525
1122 1 0,9525
1123 1 0,9525
1124 1 0,9525
1125 1 0,9525
1126 1 0,9525
1127 1 0,9525
1128 1 0,9525
1129 1 0,9525
1130 1 0,9525
1131 1 0,9525
1132 1 0,9525
1133 1 0,9525
1134 1 0,9525
1135 1 0,9525
1136 1 0,9525
1137 1 0,9525
1138 1 0,9525
1139 1 0,9525
1140 1 0,9525
1141 1 0,9525
1142 1 0,9525
1143 1 0,9525
1144 1 0,9525
1145 1 0,9525
1146 1 0,9525
1147 1 0,9525
1148 1 0,9525
1149 1 0,9525
1150 1 0,9525
1151 1 0,9525
1152 1 0,9525
1153 1 0,9525
1154 1 0,9525
1155 1 0,9525
1156 1 0,9525
1157 1 0,9525
1158 1 0,9525
1159 1 0,9525
1160 1 0,9525
1161 1 0,9525
1162 1 0,9525
1163 1 0,9525
1164 1 0,9525
1165 1 0,9525
1166 1 0,9525
1167 1 0,9525
1168 1 0,9525
1169 1 0,9525
1170 1 0,9525
1171 1 0,9525
1172 1 0,9525
1173 1 0,9525
1174 1 0,9525
1175 1 0,9525
1176 1 0,9525
1177 1 0,9525
1178 1 0,9525
1179 1 0,9525
1180 1 0,9525
1181 1 0,9525
1182 1 0,9525
1183 1 0,9525
1184 1 0,9525
1185 1 0,9525
1186 1 0,9525
1187 1 0,9525
1188 1 0,9525
1189 1 0,9525
1190 1 0,9525
1191 1 0,9525
1192 1 0,9525
1193 1 0,9525
1194 1 0,9525
1195 1 0,9525
1196 1 0,9525
1197 1 0,9525
1198 1 0,9525
1199 1 0,9525
1200 1 0,9525
1201 1 0,9525
1202 1 0,9525
1203 1 0,9525
1204 1 0,9525
1205 1 0,9525
1206 1 0,9525
1207 1 0,9525
1208 1 0,9525
1209 1 0,9525
1210 1 0,9525
1211 1 0,9525
1212 1 0,9525
1213 1 0,9525
1214 1 0,9525
1215 1 0,9525
1216 1 0,9525
1217 1 0,9525
1218 1 0,9525
1219 1 0,9525
1220 1 0,9525
1221 1 0,9525
1222 1 0,9525
1223 1 0,9525
1224 1 0,9525
1225 1 0,9525
1226 1 0,9525
1227 1 0,9525
1228 1 0,9525
1229 1 0,9525
1230 1 0,9525
1231 1 0,9525
1232 1 0,9525
1233 1 0,9525
1234 1 0,9525
1235 1 0,9525
1236 1 0,9525
1237 1 0,9525
1238 1 0,9525
1239 1 0,9525
1240 1 0,9525
1241 1 0,9525
1242 1 0,9525
1243 1 0,9525
1244 1 0,9525
1245 1 0,9525
1246 1 0,9525
1247 1 0,9525
1248 1 0,9525
1249 1 0,9525
1250 1 0,9525
1251 1 0,9525
1252 1 0,9525
1253 1 0,9525
1254 1 0,9525
1255 1 0,9525
1256 1 0,9525
1257 1 0,9525
1258 1 0,9525
1259 1 0,9525
1260 1 0,9525
1261 1 0,9525
1262 1 0,9525
1263 1 0,9525
1264 1 0,9525
1265 1 0,9525
1266 1 0,9525
1267 1 0,9525
1268 1 0,9525
1269 1 0,9525
1270 1 0,9525
1271 1 0,9525
1272 1 0,9525
1273 1 0,9525
1274 1 0,9525
1275 1 0,9525
1276 1 0,9525
1277 1 0,9525
1278 1 0,9525
1279 1 0,9525
1280 1 0,9525
1281 1 0,9525
1282 1 0,9525
1283 1 0,9525
1284 1 0,9525
1285 1 0,9525
1286 1 0,9525
1287 1 0,9525
1288 1 0,9525
1289 1 0,9525
1290 1 0,9525
1291 1 0,9525
1292 1 0,9525
1293 1 0,9525
1294 1 0,9525
1295 1 0,9525
1296 1 0,9525
1297 1 0,9525
1298 1 0,9525
1299 1 0,9525
1300 1 0,9525
1301 1 0,9525
1302 1 0,9525
1303 1 0,9525
1304 1 0,9525
1305 1 0,9525
1306 1 0,9525
1307 1 0,9525
1308 1 0,9525
1309 1 0,9525
1310 1 0,9525
1311 1 0,9525
1312 1 0,9525
1313 1 0,9525
1314 1 0,9525
1315 1 0,9525
1316 1 0,9525
1317 1 0,9525
1318 1 0,9525
1319 1 0,9525
1320 1 0,9525
1321 1 0,9525
1322 1 0,9525
1323 1 0,9525
1324 1 0,9525
1325 1 0,9525
1326 1 0,9525
1327 1 0,9525
1328 1 0,9525
1329 1 0,9525
1330 1 0,9525
1331 1 0,9525
1332 1 0,9525
1333 1 0,9525
1334 1 0,9525
1335 1 0,9525
1336 1 0,9525
1337 1 0,9525
1338 1 0,9525
1339 1 0,9525
1340 1 0,9525
1341 1 0,9525
1342 1 0,9525
1343 1 0,9525
1344 1 0,9525
1345 1 0,9525
1346 1 0,9525
1347 1 0,9525
1348 1 0,9525
1349 1 0,9525
1350 1 0,9525
1351 1 0,9525
1352 1 0,9525
1353 1 0,9525
1354 1 0,9525
1355 1 0,9525
1356 1 0,9525
1357 1 0,9525
1358 1 0,9525
1359 1 0,9525
1360 1 0,9525
1361 1 0,9525
1362 1 0,9525
1363 1 0,9525
1364 1 0,9525
1365 1 0,9525
1366 1 0,9525
1367 1 0,9525
1368 1 0,9525
1369 1 0,9525
1370 1 0,9525
1371 1 0,9525
1372 1 0,9525
1373 1 0,9525
1374 1 0,9525
1375 1 0,9525
1376 1 0,9525
1377 1 0,9525
1378 1 0,9525
1379 1 0,9525
